Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "BottomPCB-011713.brd" as of: 2/7/2013 4:10:08 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.683,0.993,135
C2,Top,1.238,1.173,0
C3,Top,1.073,1.233,45
C4,Top,1.268,1.028,270
C5,Top,1.058,0.993,270
C6,Top,1.008,0.823,90
D1,Top,0.650,0.324,180
D2,Bottom,1.258,0.439,135
IC2,Top,1.193,0.698,180
JP3,Bottom,1.152,0.769,180
JP4,Bottom,0.791,0.420,270
LED1,Top,1.143,0.353,300
LED2,Top,1.133,1.353,240
LED3,Top,0.273,0.853,0
LED4,Top,1.158,1.058,0
Q1,Top,0.968,1.456,345
Q2,Top,0.973,0.333,180
Q3,Top,0.453,1.268,225
Q4,Top,0.603,0.683,270
Q5,Top,0.603,0.813,270
Q6,Top,0.603,0.943,270
R1,Top,1.153,0.933,270
R2,Top,1.008,0.993,90
R3,Top,0.603,0.583,180
R4,Top,0.773,0.543,0
R5,Top,0.978,0.613,0
R6,Top,0.603,0.513,180
R7,Top,0.603,0.443,180
R8,Top,0.773,0.613,0
R9,Top,0.978,0.473,0
R10,Top,0.773,0.473,0
R11,Top,0.978,0.543,0
S1,Top,0.850,0.850,270
U1,Top,0.788,1.228,225
